FID;Waterbody Name;area_ha;setname;wbrscode;Water body Code;District;state;Basin Code;Sub Basin
847998;Golai;41.60646621;Hirapur;R01911;Reservoir;Betul;Madhya Pradesh;Narmada;Narmada Upper
849547;Golamarjore Reservoir;44.25651526;Golamara;R06115;Reservoir;Purulia;West Bengal;Ganga;Damodar
845781;Golangri;54.21402513;Borkhed;R03766;Reservoir;Beed;Maharashtra;Godavari;Manjra
846881;Golapangari K.T. Weir;1.54426389;Golapangri;R07688;Reservoir;Jalna;Maharashtra;Godavari;Godavari Middle
846453;Golatgaon;32.61803015;Golatgaon;R03767;Reservoir;Aurangabad;Maharashtra;Godavari;Godavari Middle
844557;Gollapalli Reservoir;455.32020917;Duddebanda;R07480;Reservoir;Anantapur;Andhra Pradesh;Pennar;Pennar Upper
849696;Golwarpatti;271.46053582;Tulukkapatti;R07564;Reservoir;Virudhunagar;Tamil Nadu;East flowing rivers between Pennar and Kanyakumari;Vaippar and others
848246;Goma;311.17594745;Sarva;R06022;Reservoir;Botad;Gujarat;Sabarmati;Sabarmati Lower
847615;Gomai;147.42934652;Godipur;R03069;Reservoir;Nandurbar;Maharashtra;Tapi;Tapi Middle
848952;Gomuki Reservoir;349.71062101;Parigam;R00842;Reservoir;Kallakurichi;Tamil Nadu;East flowing rivers between Pennar and Kanyakumari;Ponnaiyar and other
848454;Gonda;16.59856992;Chamar;R01913;Reservoir;Satna;Madhya Pradesh;Ganga;Tons
849176;Gonda;60.29165612;Nawadih;R00793;Reservoir;Hazaribagh;Jharkhand;Ganga;Damodar
846682;Gondala;70.8699347;Gaundhala;R03768;Reservoir;Buldhana;Maharashtra;Godavari;Wardha
847108;Gondali;283.78569055;Kotda Sangani;R01254;Reservoir;Rajkot;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Bhadar and other west flowing rivers
847645;Gondegaon;93.80327393;Mukhed;R07496;Reservoir;Aurangabad;Maharashtra;Tapi;Tapi Middle
846388;Gondegaon;97.9429817;Borgaon Bk;R03771;Reservoir;Latur;Maharashtra;Godavari;Manjra
846566;Gondegaon (Manora);10.15430864;Puntamba;R03770;Reservoir;Ahmednagar;Maharashtra;Godavari;Godavari Upper
847992;Gondhidhana;15.82603109;Sajpur;R01914;Reservoir;Betul;Madhya Pradesh;Narmada;Narmada Upper
848511;Gondigoulla;26.34318117;Goula;R01916;Reservoir;Betul;Madhya Pradesh;Tapi;Tapi Upper
847737;Gondkhed Dam;44.70030685;Gondkhed;R03772;Reservoir;Jalgaon;Maharashtra;Tapi;Tapi Middle
847520;Gondkhel  - 2;4.80012113;Gondkhed;R06738;Reservoir;Jalgaon;Maharashtra;Tapi;Tapi Middle
849849;Gondli Reservoir;1627.56230997;Kalkasa;R00957;Reservoir;Balod;Chhattisgarh;Mahanadi;Mahanadi Upper
847687;Gondur;95.02849805;Wadel;R03774;Reservoir;Dhule;Maharashtra;Tapi;Tapi Middle
847766;Gondvihir;32.63154618;Kalwit;R03775;Reservoir;Amravati;Maharashtra;Tapi;Tapi Upper
847777;Gondwagholi;27.35122381;Kumbhi Wagholi;R03776;Reservoir;Amravati;Maharashtra;Tapi;Tapi Upper
