osmid,day,exists_true_image,total_pixel_count,water_pixels,cloud_pixels,water_with_no_clouds_pixels,chl_very_low_pixels,chl_low_pixels,chl_moderate_pixels,chl_high_pixels,chl_very_high_pixels,chl_very_low_area,chl_low_area,chl_moderate_area,chl_high_area,chl_very_high_area,is_valid,total_pixel_area,mci,mci_2
642008292,2024-01-05,True,42338,76.0,43189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
642008292,2024-02-14,True,42338,30694.0,18034.0,20617.0,0.0,105.0,0.0,0.0,0.0,0.0,2625.0,0.0,0.0,0.0,False,,525.0,52.5
642008292,2024-03-25,True,42338,20799.0,10231.0,19591.0,4.0,12.0,0.0,0.0,0.0,100.0,300.0,0.0,0.0,0.0,False,,70.0,7.0
642008292,2024-05-04,True,42338,20408.0,43189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
642008292,2024-06-13,True,42338,0.0,43189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
642008292,2024-07-23,True,42338,23254.0,0.0,23254.0,0.0,52.0,8.0,0.0,0.0,0.0,1300.0,200.0,0.0,0.0,True,,320.0,34.0
642008292,2024-09-01,True,42338,6639.0,43189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
653705468,2024-01-05,True,37942,16.0,38352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
653705468,2024-02-14,False,37942,,,,,,,,,,,,,,False,948550.0,,
653705468,2024-03-25,True,37942,32.0,25773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
653705468,2024-05-04,True,37942,52.0,38352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
653705468,2024-06-13,True,37942,0.0,38352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
653705468,2024-07-23,True,37942,60.0,1990.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,0.0,0.0
653705468,2024-09-01,True,37942,132.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,0.0,0.0
663450139,2024-01-02,True,61878,1775.0,62824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
663450139,2024-02-11,True,61878,8324.0,0.0,8324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,0.0,0.0
663450139,2024-03-22,True,61878,1237.0,0.0,1237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,0.0,0.0
663450139,2024-05-01,True,61878,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,0.0,0.0
663450139,2024-06-10,True,61878,0.0,62824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
663450139,2024-07-20,True,61878,42663.0,51772.0,11052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
663450139,2024-08-29,True,61878,0.0,62824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
676643852,2024-01-01,True,107496,17510.0,0.0,17510.0,0.0,1147.0,447.0,1172.0,2.0,0.0,28675.0,11175.0,29300.0,50.0,True,,20832.5,3372.5
676643852,2024-02-10,True,107496,1840.0,0.0,1840.0,0.0,38.0,20.0,11.0,0.0,0.0,950.0,500.0,275.0,0.0,True,,450.0,61.0
676643852,2024-03-21,False,107496,,,,,,,,,,,,,,False,2687400.0,,
676643852,2024-04-30,True,107496,787.0,108839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
676643852,2024-06-09,False,107496,,,,,,,,,,,,,,False,2687400.0,,
676643852,2024-07-19,True,107496,107739.0,108849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
676643852,2024-08-28,False,107496,,,,,,,,,,,,,,False,2687400.0,,
687382830,2024-01-02,True,46576,5330.0,37151.0,1934.0,0.0,0.0,0.0,80.0,32.0,0.0,0.0,0.0,2000.0,800.0,False,,1200.0,288.0
687382830,2024-02-11,True,46576,5323.0,0.0,5323.0,7.0,921.0,0.0,0.0,0.0,175.0,23025.0,0.0,0.0,0.0,True,,4622.5,462.25
